ITS2 type profile UID		170637	170699	171590	172084	171074	170831	172002	172718	171452	172143	171549	172190	171551	170913	172340	171078	171854	170834	172148	171126	172159	172477	172586	172587	172479	172657
Clade		A	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	F
Majority ITS2 sequence		A4at	A4ck	C1	C1	C1	C1b/C1	C1	C21ac	C3/C1	C17	C1	C21	C1	C3v	C21dc	C1	C1	C1	C1	C1	C1	D1	D1	D1	D1	F5h
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		1	1	34	5	5	3	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	89	21	2	1	1
ITS2 profile abundance DB		13	1	899	5	18	36	8	8	116	9	3	35	157	4	1	79	1	11	6	1	53	177	21	4	2	1
ITS2 type profile		A4at	A4ck	C1-C1b-C1c-C42.2-C1bh-C1br-C1cb-C3	C1-C3tp-C1b-C1c-C42.2-C1bh	C1-C1b-C42.2-C1c-C1bh-C1br-C1cb	C1/C1b	C1-C1b-C1c-C42.2-C1bh-C1cb	C21ac	C3/C1	C17/C21	C1-C1c-C1w-C1b	C21	C1/C3-C1c-C1b-C1w	C3/C3v-C1-C1n	C21dc	C1/C1c-C1b-C72k-C42.2	C1-C1c-C1b-C42.2-C1cb-C1br	C1-C1c-C1b	C1/C1w	C1-C42.2-C1c-C1br-C1b	C1	D1-D4-D1u-D2-D2.2	D1-D4-D2-D1u-D1jz-D2.2	D1/D4-D2-D2.2	D1-D4-D1u-D2	F5h
139443	FF1136_e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5641.0	0	0	0	0
139475	SS1632-2_e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3277.0	0	0	0	0
139485	SS1728_e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5106.0	0	0	0	0
139497	FF1031_LN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5923.0	0	0	0	0
